window_start,window_end,return_metric,section,predicted_tier_cal,filteredtier,optionType,filter_stage,n_trades,wins,losses,breakeven,win_rate,avg_pnl,median_pnl,avg_return_pct,median_return_pct,worst_drawdown_proxy,profit_factor,tradeable_coverage,avg_win_pnl,median_win_pnl,avg_loss_pnl_abs,median_loss_pnl_abs,win_loss_ratio,avg_win_return_pct,median_win_return_pct,avg_loss_return_pct_abs,median_loss_return_pct_abs,p25_win_return_pct,p75_win_return_pct,p25_loss_return_pct_abs,p75_loss_return_pct_abs
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S10_predicted_A_baseline,A,A,call,predicted_A_all,433,352.0,79.0,2.0,0.812933025404157,1938.2240184757507,2295.0,129.21493456505004,153.0,-40.519999999999996,26.6635985566632,1.0,2477.1392045454545,2745.0,413.9493670886076,388.0,5.984159903342025,165.14261363636362,183.0,27.596624472573843,25.866666666666667,50.116666666666674,254.56666666666666,13.033333333333331,42.8
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S10_predicted_A_baseline,A,Dropped,call,predicted_A_all,423,194.0,218.0,11.0,0.458628841607565,298.9527186761229,-35.0,19.930181245074856,-2.3333333333333335,-95.56666666666666,1.682087628170898,1.0,1607.4948453608247,967.5,850.4449541284404,590.5,1.8901809429961638,107.16632302405496,64.5,56.69633027522937,39.36666666666666,18.116666666666667,143.1,26.68333333333333,59.96666666666667
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S11_filtered_A_only,A,A,call,A_filtered_no_adaptive,932,605.0,308.0,19.0,0.6491416309012875,925.7231759656653,348.5,72.23419170243203,27.533333333333335,-60.756666666666675,7.733530527350914,0.48175965665236054,1637.8595041322315,1068.0,416.0097402597403,339.0,3.9370700866513744,128.71735537190082,86.66666666666667,34.25887445887445,27.5,30.599999999999998,201.79999999999998,14.633333333333333,48.5
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S12_adaptive_only,A,A,call,adaptive_A_not_filtered_A,745,594.0,144.0,7.0,0.7973154362416107,1690.8872483221476,1663.0,129.3561521252796,126.93333333333334,-48.46666666666667,22.448095619157883,0.6026845637583893,2219.6026936026938,2158.5,407.86805555555554,338.5,5.441962574341305,170.57216610549943,167.93333333333334,34.37175925925927,28.06666666666667,81.16666666666666,242.76666666666665,13.216666666666665,49.03333333333334
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S12_adaptive_only,A,Dropped,call,adaptive_A_not_filtered_A,1600,774.0,814.0,12.0,0.48375,363.4675,-16.5,433.2872157634998,-1.7666666666666668,-149.2533333333333,2.3762983824208073,0.455625,1297.2777777777778,896.0,519.0970515970516,467.5,2.499104500375371,1368.9818836146974,95.93333333333334,450.03984360709603,44.099999999999994,37.7,203.61666666666667,24.0,73.96666666666667
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S12_adaptive_only,B,A_prime,call,adaptive_A_not_filtered_A,967,753.0,182.0,32.0,0.7786970010341262,1524.4963805584282,1272.0,123.08052395725612,97.66666666666667,-36.67999999999999,27.46039523989015,0.59358841778697,2031.7410358565737,1851.0,306.11538461538464,202.0,6.637173882682612,164.15369632580789,139.06666666666666,25.213553113553107,17.633333333333333,59.86666666666667,243.93333333333334,7.350000000000001,37.53333333333334
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S12_adaptive_only,B,Dropped,call,adaptive_A_not_filtered_A,1359,551.0,755.0,53.0,0.40544518027961735,193.72185430463577,-67.0,449.14968847809996,-8.0,-2926.510635086622,1.7655921483097055,0.40029433406916853,1101.8929219600725,611.0,455.4635761589404,378.0,2.4192778075750048,1976.9447166910022,75.33333333333333,634.3074334503373,44.4,21.133333333333333,263.4666666666667,21.3,81.19999999999999
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S13_core_plus_quant,A,A,call,A_A_A_plus_quant,359,308.0,50.0,1.0,0.8579387186629527,2190.7548746518105,2565.0,146.05032497678738,171.0,-27.133333333333322,43.528578381009034,1.0,2613.551948051948,2900.0,369.86,282.5,7.066327659254712,174.23679653679656,193.33333333333331,24.657333333333337,18.833333333333336,74.21666666666667,255.98333333333335,10.533333333333333,40.36666666666667
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S1_overall,A,A,call,baseline,1899,1235.0,636.0,28.0,0.6503422854133755,1053.4676145339652,482.0,81.66757942776903,39.46666666666667,-70.18666666666667,6.93018188932497,0.5339652448657188,1893.0226720647772,1679.0,530.4213836477987,430.0,3.5689033859195796,147.2516599190283,128.13333333333335,42.08972746331239,36.36666666666667,45.63333333333333,225.7,18.28333333333333,56.71666666666667
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S1_overall,A,Dropped,call,baseline,8438,3758.0,4548.0,132.0,0.4453662005214506,223.04361223038634,-65.0,372.03120189454205,-7.666666666666666,-1511.1244916492283,1.8013173328905323,0.342853756814411,1125.7921766897286,735.0,516.4215039577837,434.5,2.179987022348627,1428.327159336077,90.46666666666667,489.98552840783555,46.666666666666664,33.64088191330344,226.23333333333332,25.43333333333333,81.33333333333333
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S1_overall,B,A_prime,call,baseline,3705,2343.0,1170.0,192.0,0.6323886639676113,940.0817813765182,290.0,74.27773279352222,21.866666666666667,-60.44,8.008505577823925,0.5287449392712551,1698.664532650448,1244.0,424.75897435897434,332.5,3.9991257046751993,134.62148242993308,100.4,34.375327635327636,26.866666666666667,29.266666666666666,208.66666666666666,11.416666666666668,49.333333333333336
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S1_overall,B,Dropped,call,baseline,8936,4037.0,4422.0,477.0,0.4517681289167413,206.12768576544315,0.0,405.397038311363,0.0,-1798.7923060471585,1.9428647479620695,0.3540734109221128,940.1862769383206,535.0,441.78539122568975,339.0,2.1281515767867902,1493.2342441522499,71.86666666666667,543.9978989806177,40.13333333333333,20.8,215.33333333333334,18.666666666666668,77.81666666666666
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S1_overall,C,C,call,baseline,7625,4407.0,2787.0,431.0,0.5779672131147541,904.5232786885246,140.0,404.2966272650728,13.666666666666666,-109.10666666666665,4.872331346727715,0.5135737704918033,1969.1592920353983,1150.0,639.0724793684966,342.0,3.0812769374472753,813.2714005091289,112.00000000000001,179.87989922768094,32.0,32.96666666666667,236.5666666666667,14.033333333333335,66.66666666666666
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S1_overall,C,Dropped,call,baseline,4796,1613.0,2951.0,232.0,0.33632193494578816,50.76814011676397,-135.0,428.6258350009229,-19.866666666666667,-4537.332559601528,1.1265388998863415,0.33152627189324435,1343.8729076255424,395.0,652.0443917316164,367.0,2.061014441143579,2846.1560759402946,147.93333333333334,859.0851392162896,54.666666666666664,30.533333333333335,2159.090909090909,25.066666666666666,180.66666666666666
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S1_overall,D,D,call,baseline,189741,84340.0,83015.0,22386.0,0.44450066142794653,84.3459874249635,0.0,593.9319033398474,0.0,-413.2231404958678,3.114294199602662,0.25532699838200495,279.5028456248518,69.0,91.18084683490936,35.0,3.065367950913149,1791.9593546864767,8.666666666666668,463.05629949589905,4.0,2.0,45.800000000000004,1.2,14.266666666666666
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S1_overall,D,Dropped,call,baseline,134102,45926.0,70314.0,17862.0,0.34247065666433013,12.23817318160803,-3.0,541.6315897241105,-0.33333333333333337,-5161.290322580646,1.2489981515891129,0.1732188930813858,179.24989112920787,46.0,93.73761981966607,40.0,1.9122513615563492,3351.9902525301313,17.533333333333335,1156.37888461069,8.666666666666668,2.8000000000000003,2285.714285714286,2.3333333333333335,1000.0
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S2_filter_uplift,A,A,call,all_filters,433,352.0,79.0,2.0,0.812933025404157,1938.2240184757507,2295.0,129.21493456505004,153.0,-40.519999999999996,26.6635985566632,1.0,2477.1392045454545,2745.0,413.9493670886076,388.0,5.984159903342025,165.14261363636368,183.0,27.596624472573843,25.866666666666667,50.116666666666674,254.56666666666666,13.033333333333331,42.8
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S2_filter_uplift,A,Dropped,call,all_filters,423,194.0,218.0,11.0,0.458628841607565,298.9527186761229,-35.0,19.930181245074845,-2.3333333333333335,-95.56666666666666,1.682087628170898,1.0,1607.4948453608247,967.5,850.4449541284404,590.5,1.8901809429961638,107.16632302405496,64.5,56.69633027522936,39.36666666666666,18.116666666666667,143.1,26.68333333333333,59.96666666666667
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S2_filter_uplift,A,A,call,baseline,147,93.0,54.0,0.0,0.6326530612244898,716.9047619047619,291.0,67.45170068027211,26.13333333333333,-68.94,5.756070042422602,0.0,1371.4301075268818,1210.0,410.3333333333333,410.0,3.3422342181808657,129.3648745519713,101.0,39.17654320987654,35.099999999999994,41.66666666666667,199.06666666666666,18.53333333333333,54.2
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S2_filter_uplift,A,Dropped,call,baseline,1348,440.0,890.0,18.0,0.3264094955489614,-86.78189910979229,-180.0,210.8003368385414,-27.333333333333332,-3989.579027123741,0.7059076407900988,0.0,638.1613636363636,406.0,446.93595505617975,367.5,1.4278586370527,2161.4354678770706,86.96666666666667,749.2952267500649,54.43333333333334,25.483333333333334,552.1423228977454,28.5,113.03333333333333
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S2_filter_uplift,A,A,call,momentum_only,542,322.0,205.0,15.0,0.5940959409594095,684.5258302583026,257.5,62.82669126691268,20.666666666666664,-75.32,5.088522783624442,0.12730627306273062,1434.0310559006211,1316.5,442.6585365853659,365.0,3.239587486468977,132.1045548654244,110.6,41.39317073170731,35.733333333333334,42.56666666666666,184.55,17.266666666666666,57.199999999999996
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S2_filter_uplift,A,Dropped,call,momentum_only,4006,1851.0,2102.0,53.0,0.4620569146280579,212.53220169745381,-36.0,563.6354014409268,-4.933333333333334,-2735.9649122807014,1.8826955575138666,0.1015976035946081,981.066450567261,652.0,458.872502378687,390.5,2.1379935504560494,1912.4716202347015,106.2,609.9246198297246,48.66666666666667,40.599999999999994,320.4666666666667,26.0,94.66666666666667
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S2_filter_uplift,A,A,call,momentum_plus_valuation,777,468.0,298.0,11.0,0.6023166023166023,881.4491634491634,310.0,71.00283140283142,23.599999999999998,-77.46666666666667,4.571895714576282,0.6589446589446589,1873.138888888889,1663.5,643.4328859060403,543.5,2.9111643652643844,147.7713675213675,117.76666666666668,46.93892617449664,40.83333333333333,41.3,232.06666666666663,21.6,60.78333333333333
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S2_filter_uplift,A,Dropped,call,momentum_plus_valuation,2661,1273.0,1338.0,50.0,0.47839158211198796,383.75159714393084,-10.0,221.2275620777048,-1.0,-94.6,2.2749158827164733,0.7752724539646749,1431.365278868814,997.0,598.6285500747384,545.0,2.3910741956595767,672.3068524728735,77.73333333333333,199.67121114289685,43.333333333333336,33.33333333333333,168.6,22.98333333333333,63.083333333333336
