signal_id,ticker,optionSymbol,signal_date,optionType,dte,dte_bucket,adaptive_score_final,segmented_percentile,global_percentile,final_tier,segment_hist_n,segment_fallback
NBIS_2026-05-07,NBIS,O:NBIS260529C00200000,2026-05-07,call,22,22-45,1.960284835050215,99.99739890407159,99.99638200263391,A+,115336,False
DELL_2026-05-07,DELL,O:DELL260618C00200000,2026-05-07,call,42,22-45,1.8972699496251155,99.99306374419089,99.99312580500441,A+,115336,False
INTC_2026-05-07,INTC,O:INTC260605C00110000,2026-05-07,call,29,22-45,1.2579020129385654,97.8038080044392,98.49328499688852,A,115336,False
QCOM_2026-05-07,QCOM,O:QCOM260618C00170000,2026-05-07,call,42,22-45,1.2423247401774091,97.72317403065826,98.422372248513,A,115336,False
MRVL_2026-05-07,MRVL,O:MRVL260529C00180000,2026-05-07,call,22,22-45,1.205994898675033,97.53936325171672,98.23875888218353,A,115336,False
NVDA_2026-05-07,NVDA,O:NVDA260529C00190000,2026-05-07,call,22,22-45,1.1835689809883947,97.42751612679476,98.12497286501976,A,115336,False
DDOG_2026-05-07,DDOG,O:DDOG260618C00150000,2026-05-07,call,42,22-45,1.1682334648707249,97.33387667337172,98.0415780257312,A,115336,False
NET_2026-05-07,NET,O:NET260618C00270000,2026-05-07,call,42,22-45,1.1625498443274545,97.28879101061247,98.00286545391396,A,115336,False
ARM_2026-05-07,ARM,O:ARM260618C00190000,2026-05-07,call,42,22-45,1.1365292270324088,97.09284178400499,97.8565174604553,A,115336,False
TWLO_2026-05-07,TWLO,O:TWLO260529C00200000,2026-05-07,call,22,22-45,1.136277714188627,97.09197475202886,97.85543206124547,A,115336,False
BIDU_2026-05-07,BIDU,O:BIDU260618C00125000,2026-05-07,call,42,22-45,1.1273310455468766,96.99226607477284,97.79808680299281,A,115336,False
LRCX_2026-05-07,LRCX,O:LRCX260618C00260000,2026-05-07,call,42,22-45,1.0839742367967702,96.55528195879864,97.50014471989465,A,115336,False
MSTR_2026-05-07,MSTR,O:MSTR260529C00170000,2026-05-07,call,22,22-45,1.0820056510654534,96.52493583963377,97.48513003082533,A,115336,False
ORCL_2026-05-07,ORCL,O:ORCL260618C00170000,2026-05-07,call,42,22-45,1.0813244462865808,96.51886661580079,97.48042663424941,A,115336,False
SMTC_2026-05-07,SMTC,O:SMTC260618C00120000,2026-05-07,call,42,22-45,1.072159500322265,96.39748213914129,97.41222738389847,A,115336,False
RDDT_2026-05-07,RDDT,O:RDDT260618C00160000,2026-05-07,call,42,22-45,0.9945845321327772,95.14548796559617,96.5970925773166,B,115336,False
ALAB_2026-05-07,ALAB,O:ALAB260522C00200000,2026-05-07,call,15,8-21,1.0298593099658206,95.06272128993027,97.01261957481294,B,101959,False
PANW_2026-05-07,PANW,O:PANW260529C00180000,2026-05-07,call,22,22-45,0.9862818149918756,94.98595408198655,96.48674365765062,B,115336,False
SATS_2026-05-07,SATS,O:SATS260618C00130000,2026-05-07,call,42,22-45,0.9646270589124502,94.54376777415551,96.17089248759027,B,115336,False
MDB_2026-05-07,MDB,O:MDB260529C00295000,2026-05-07,call,22,22-45,0.930499151975828,93.89609488797947,95.59490730690749,B,115336,False
RMBS_2026-05-07,RMBS,O:RMBS260618C00130000,2026-05-07,call,42,22-45,0.9197926541725604,93.63078310328085,95.40261074689937,B,115336,False
SNOW_2026-05-07,SNOW,O:SNOW260618C00120000,2026-05-07,call,42,22-45,0.9140018543487924,93.49986127488381,95.29877422249237,B,115336,False
ZS_2026-05-07,ZS,O:ZS260618C00150000,2026-05-07,call,42,22-45,0.886879294739765,92.866060900326,94.79261639097527,B,115336,False
ADBE_2026-05-07,ADBE,O:ADBE260618C00250000,2026-05-07,call,42,22-45,0.8811111234284943,92.70565998474024,94.64807739619965,B,115336,False
CELC_2026-05-07,CELC,O:CELC260618C00125000,2026-05-07,call,42,22-45,0.8800687061917305,92.67791496150377,94.6274548112129,B,115336,False
CRM_2026-05-07,CRM,O:CRM260618C00180000,2026-05-07,call,42,22-45,0.8115089137608957,90.57883054727058,92.99917509660052,B,115336,False
ATI_2026-05-07,ATI,O:ATI260618C00160000,2026-05-07,call,42,22-45,0.7530948845127031,88.40691544704168,91.27954094849419,B,115336,False
ANET_2026-05-07,ANET,O:ANET260618C00125000,2026-05-07,call,42,22-45,0.7512584328365002,88.31934521745163,91.21025629893342,B,115336,False
PLTR_2026-05-07,PLTR,O:PLTR260529C00140000,2026-05-07,call,22,22-45,0.7495801062545504,88.23871124367066,91.14784584436822,B,115336,False
SHOP_2026-05-07,SHOP,O:SHOP260618C00110000,2026-05-07,call,42,22-45,0.7304491753008906,87.48526045640563,90.51795250293058,lower,115336,False
GILD_2026-05-07,GILD,O:GILD260618C00130000,2026-05-07,call,42,22-45,0.7165566365538651,86.98671707012555,90.04906004428429,lower,115336,False
FTAI_2026-05-07,FTAI,O:FTAI260522C00260000,2026-05-07,call,15,8-21,0.7014012308748481,85.13618219088065,89.48682325359268,lower,101959,False
DUOL_2026-05-07,DUOL,O:DUOL260618C00105000,2026-05-07,call,42,22-45,0.5046962231189815,76.59533883609627,80.25749287254519,lower,115336,False
ALB_2026-05-07,ALB,O:ALB260618C00200000,2026-05-07,call,42,22-45,0.5043959702582854,76.58233335645419,80.24338268281741,lower,115336,False
ICLR_2026-05-07,ICLR,O:ICLR260618C00115000,2026-05-07,call,42,22-45,0.4586983225186458,73.91100783796907,77.55828593756783,lower,115336,False
WDAY_2026-05-07,WDAY,O:WDAY260618C00135000,2026-05-07,call,42,22-45,0.4585931987009662,73.90580564611223,77.55123084270394,lower,115336,False
CF_2026-05-07,CF,O:CF260618C00120000,2026-05-07,call,42,22-45,0.4033509390725227,70.86945966567247,74.3570818680444,lower,115336,False
